price,carat,cut,color,clarity,length_mm,width_mm
3867,0.9,Ideal,I,VS,6.13,6.18
12048,2.01,Ideal,J,SI,8.08,8.03
878,0.41,Very Good,F,SI,4.73,4.69
4325,0.68,Ideal,D,VVS,5.66,5.69
401,0.3,Ideal,E,SI,4.33,4.35
5504,1.19,Ideal,D,SI,6.91,6.89
1767,0.63,Good,H,VS,5.47,5.56
4704,1.02,Very Good,G,SI,6.36,6.4
1121,0.52,Ideal,F,SI,5.17,5.2
2137,0.7,Very Good,H,VS,5.58,5.62
417,0.24,Ideal,F,VS,3.97,4.02
752,0.33,Ideal,G,VVS,4.45,4.49
1289,0.52,Good,H,VS,5.09,5.12
4959,1.09,Very Good,I,VS,6.57,6.59
1140,0.51,Very Good,I,VS,5.02,5.06
1800,0.53,Ideal,F,VS,5.18,5.2
3418,0.93,Good,F,SI,6.24,6.25
1559,0.5,Premium,E,VS,5.07,5.09
1766,0.53,Premium,F,VS,5.32,5.28
3401,0.76,Ideal,D,VS,5.85,5.89
596,0.34,Ideal,E,SI,4.48,4.51
7430,1.22,Ideal,I,VS,6.91,6.99
4992,1.23,Good,J,SI,6.74,6.82
4203,1.2,Premium,D,SI,6.94,6.81
2112,0.6,Ideal,E,VS,5.4,5.43
705,0.33,Ideal,F,SI,4.49,4.46
1295,0.41,Ideal,D,VVS,4.76,4.77
1175,0.5,Fair,H,VS,5.02,5.06
827,0.35,Ideal,D,SI,4.59,4.56
755,0.42,Very Good,H,VS,4.81,4.84
3701,1.08,Premium,G,SI,6.66,6.61
480,0.27,Ideal,H,VS,4.18,4.2
709,0.3,Premium,D,SI,4.32,4.28
6149,1.3,Very Good,F,SI,6.98,7.02
2020,0.7,Premium,H,SI,5.63,5.57
608,0.32,Ideal,E,VS,4.4,4.46
2648,0.7,Premium,F,VS,5.78,5.76
4528,1,Good,G,SI,6.24,6.31
426,0.3,Ideal,D,SI,4.31,4.34
1052,0.51,Premium,F,SI,5.26,5.24
702,0.32,Ideal,E,VS,4.38,4.43
