apstat,programming,friends,film
Yes,no,yes,Spider-Man: Brand New Day
Yes,no,yes,Spider-Man: Brand New Day
Yes,yes,no,
Yes,no,yes,The Odyssey 
Yes,yes,no,Jurassic World Rebirth
Yes,no,no,Backrooms
No,no,yes,Scary Movie 
No,no,yes,Spider-Man: Brand New Day
Yes,no,yes,The Odyssey 
Yes,yes,yes,Spider-Man: Brand New Day
No,yes,yes,Spider-Man: Brand New Day
No,no,yes,Obsession
No,yes,yes,
No,yes,yes,Spider-Man: Brand New Day
Yes,yes,yes,The Odyssey 
Yes,no,yes,The Odyssey 
No,no,yes,The Odyssey 
No,no,no,Spider-Man: Brand New Day
No,yes,no,Project Hail Mary
No,no,yes,the Eight Immortals 八仙
No,yes,,
Yes,no,no,The Odyssey 
No,yes,yes,Spider-Man: Brand New Day
No,yes,no,Spider-Man: Brand New Day
No,no,yes,The Odyssey 
No,no,yes,Spider-Man: Brand New Day
No,yes,yes,The Odyssey 
No,yes,no,Obsession
No,no,yes,Project Hail Mary
Yes,yes,yes,Obsession
No,no,no,Spider-Man: Brand New Day
No,no,yes,The Odyssey 
No,yes,no,Spider-Man: Brand New Day
No,no,no,Project Hail Mary
Yes,yes,yes,Avengers: Endgame
No,yes,no,The Odyssey 
No,no,yes,Spider-Man: Brand New Day
Yes,no,no,Spider-Man: Brand New Day
Yes,yes,yes,Obsession
No,no,no,The Odyssey 
Yes,no,no,Spider-Man: Brand New Day
No,no,no,Spiderman (the first one with Toby Maguire - my theater shows older movies for free every week)
No,yes,yes,Spider-Man: Brand New Day
Yes,yes,no,Spider-Man: Brand New Day
Yes,yes,yes,F1
Yes,yes,no,The Odyssey 
No,yes,no,Toy Story 5
Yes,no,no,The Odyssey 
No,no,yes,The Odyssey 
No,yes,no,Avatar: Fire and Ash
Yes,yes,no,Spider-Man: Brand New Day
Yes,no,no,Hokum
No,yes,yes,Spider-Man: Brand New Day
No,no,no,Spider-Man: Brand New Day
Yes,yes,yes,The Odyssey 
No,no,no,Project Hail Mary
No,,yes,The Odyssey 
Yes,no,no,Wicked
Yes,yes,no,Spider-Man: Brand New Day
No,yes,yes,Spider-Man: Brand New Day
Yes,yes,no,Obsession
Yes,yes,yes,The Odyssey 
Yes,yes,yes,Moana 2
Yes,yes,yes,Star Wars: The Rise of Skywalker
No,no,no,Spider-Man: Brand New Day
No,no,no,Spider-Man: Brand New Day
No,yes,no,Obsession
Yes,no,yes,Spider-Man: Brand New Day
Yes,no,yes,Michael
No,yes,no,Obsession
No,no,yes,The Odyssey 
No,no,no,Obsession
No,no,no,Spider-Man: Brand New Day
Yes,no,yes,The Odyssey 
Yes,yes,no,Spider-Man: Brand New Day
No,yes,yes,Superman 
Yes,,yes,The Odyssey 
No,yes,no,The Odyssey 
No,yes,yes,Backrooms
No,yes,,The Odyssey 
No,,yes,The Odyssey 
Yes,no,no,The Odyssey 
No,no,no,我许可
No,no,yes,Project Hail Mary on an airplane or Sinners in theaters with my mom
No,no,no,Spider-Man: Brand New Day
No,no,no,The Odyssey 
Yes,yes,no,Spider-Man: Brand New Day
No,no,no,Spider-Man: Brand New Day
Yes,no,no,Obsession
